State,place
Alabama,"Birmingham, Hoover, Alabama"
Alaska,"Anchorage, Alaska"
Arizona,"Phoenix, Mesa, Scottsdale, Arizona"
Arkansas,"Little Rock, North Little Rock, Conway, Arkansas"
California,"Los Angeles, Long Beach, Anaheim, California"
Colorado,"Denver, Aurora, Lakewood, Colorado"
Connecticut,"Hartford, West Hartford, East Hartford, Connecticut"
Delaware,"Wilmington, Delaware"
Florida,"Miami, Fort Lauderdale, West Palm Beach, FL"
Georgia,"Atlanta, Sandy Springs, Roswell, Georgia"
Hawaii,"Kahului, Wailuku, Lahaina, Hawaii"
Idaho,"Boise City, Idaho"
Illinois,"Chicago, Naperville, Elgin, Illinois"
Indiana,"Indianapolis, Carmel, Anderson, Indiana"
Iowa,"Des Moines, West Des Moines, Iowa"
Kansas,"Wichita, Kansas"
Kentucky,"Louisville, Kentucky"
Louisiana,"New Orleans, Metairie, Louisiana"
Maine,"Portland, South Portland, Maine"
Maryland,"Baltimore, Columbia, Towson, Maryland"
Massachusetts,"Boston, Cambridge, Massachusetts"
Michigan,"Detroit, Warren, Dearborn, Michigan"
Minnesota,"Minneapolis, St. Paul, Minnesota"
Mississippi,"Jackson, Mississippi"
Missouri,"St. Louis, Missouri"
Montana,"Billings, Montana"
Nebraska,"Omaha, Nebraska "
Nevada,"Las Vegas, Henderson, Paradise, Nevada"
New Hampshire,"Newton, New Hampshire"
New Jersey,"Ocean City, New Jersey"
New Mexico,"Albuquerque, New Mexico"
New York,"New York, New York"
North Carolina,"Charlotte, Concord, North Carolina "
North Dakota,"Fargo, North Dakota"
Ohio,"Cleveland, Elyria, Ohio"
Oklahoma,"Oklahoma City, Oklahoma"
Oregon,"Portland, Oregon "
Pennsylvania,"Philadelphia, Pennsylvania "
South Carolina,"Charleston, North Charleston, South Carolina"
South Dakota,"Sioux Falls, South Dakota"
Tennessee,"Nashville, Davidson, Murfreesboro, Franklin, Tennessee"
Texas,"Dallas, Fort Worth, Arlington, Texas"
Utah,"Salt Lake City, Utah"
Virginia,"Virginia Beach, Norfolk, Newport News, Virginia"
Washington,"Seattle, Tacoma, Bellevue, Washington"
West Virginia,"Charleston, West Virginia"
Wisconsin,"Milwaukee, Waukesha, West Allis, Wisconsin"
Wyoming,"Cheyenne, Wyoming"
